YEAR,SEAS,TAVG2_C
1908,AU,-1.8579545454545454
1908,SP,-2.3505747126436782
1908,SU,11.427777777777777
1908,WI,-12.325287356321839
1909,AU,-0.15609756097560976
1909,SP,-5.484444444444445
1909,SU,11.81195652173913
1909,WI,-11.580246913580247
1910,AU,-1.7457142857142858
1910,SP,-0.12647058823529408
1910,SU,10.130434782608695
1910,WI,-9.467213114754099
1911,AU,-1.280246913580247
1911,SP,-2.1202247191011234
1911,SU,11.291208791208792
1911,WI,-11.716455696202532
1912,AU,-2.0726190476190474
1912,SP,-4.035869565217391
1912,SU,11.09010989010989
1912,WI,-18.743529411764705
1913,AU,-1.4235955056179777
1913,SP,-3.5
1913,SU,11.353846153846154
1913,WI,-14.859090909090908
1914,AU,-0.9340659340659341
1914,SP,-3.029347826086956
1914,SU,11.827173913043477
1914,WI,-13.702247191011235
1915,AU,-3.841758241758242
1915,SP,-5.35
1915,SU,11.114444444444445
1915,WI,-18.334831460674156
1916,AU,-1.6164835164835165
1916,SP,-5.211956521739131
1916,SU,11.44891304347826
1916,WI,-11.853846153846154
1917,AU,-0.1804597701149426
1917,SP,-7.232954545454546
1917,SU,12.785714285714286
1917,WI,-16.939285714285717
1918,AU,1.3241758241758241
1918,SP,-0.4411764705882352
1918,SU,10.857608695652173
1918,WI,-15.595505617977528
1919,AU,-2.9725274725274726
1919,SP,-3.8336956521739127
1919,SU,12.954347826086956
1919,WI,-15.437777777777779
1920,AU,0.6758241758241759
1920,SP,1.7043478260869567
1920,SU,12.411956521739132
1920,WI,-11.978021978021978
1921,AU,-3.283516483516484
1921,SP,0.6695652173913044
1921,SU,11.855434782608697
1921,WI,-15.166666666666666
1922,AU,-1.0527472527472528
1922,SP,-2.490217391304348
1922,SU,12.833695652173914
1922,WI,-15.897777777777778
1923,AU,-0.4483516483516483
1923,SP,-3.1282608695652177
1923,SU,9.927173913043477
1923,WI,-11.742222222222221
1924,AU,0.5599999999999999
1924,SP,-3.997826086956522
1924,SU,12.027173913043478
1924,WI,-12.663736263736265
1925,AU,-3.6362637362637367
1925,SP,-3.63695652173913
1925,SU,12.81413043478261
1925,WI,-10.9
1926,AU,-1.521978021978022
1926,SP,-3.0582417582417585
1926,SU,11.580434782608696
1926,WI,-15.754545454545456
1927,AU,-4.571111111111111
1927,SP,-3.526086956521739
1927,SU,13.22391304347826
1927,WI,-13.435555555555556
1928,AU,-3.1538461538461537
1928,SP,-1.6391304347826088
1928,SU,10.781521739130435
1928,WI,-11.893406593406594
1929,AU,1.3186813186813187
1929,SP,-4.051086956521739
1929,SU,10.445652173913043
